ID;Item
115;Banana
209;Sliced White Bread
209;Light Meat Tuna in Oil
309;Minced Lamb
138;Zod Bakery Croissants
223;Chocolate in Bag
138;Real Potato Chips in Pol
128;Citrus Fruits
110;Portion Cheese
350;Banana
386;No Added Sugar
141;Citrus Fruits
394;Zod Bakery Croissants
208;Chicken Breast
34;Citrus Fruits
180;Flavoured Laban
344;Feminine Napkins
266;Banana
293;Seeds Fruits
223;French Fries
209;Labneh
209;Sliced White Bread
208;Fresh Herbs
111;Banana
223;Choco Cereals
344;Shower Gel/Creams
208;Sliced White Bread
208;Large
344;Facial Tissue Refills
72;Black Olives Whole
177;Fresh Whole Chicken 1100
180;Arabic Sweets
223;Real Potato Chips in Pol
165;Fabric Softener
403;Chicken Noodles
298;Egyptian/Calrose
236;Full Cream
23;Light Meat Tuna in Oil
234;Mazza/Sella Basmati
236;Evaporated Milk
236;No Added Sugar
196;Labneh
75;Liquid Hand Soap
403;Sandwich Biscuits
75;Dishwashing Liquid
104;Crm Cheese Spread In Jar
199;Whole Chicken
115;Mazza/Sella Basmati
151;Room Air Freshner
15;Cream Caramel
236;Chicken Stock
151;Other Chips in Poly Bags
151;Light Meat Tuna in Oil
171;Mazza/Sella Basmati
234;Cream/Mousse
151;Shampoos
214;French Fries
236;Chocolate Bars
151;Stuffed Black Olives
151;Slice Cheese
151;Instant Coffee
37;Large
236;Tea/Plain Biscuits
236;Butter
23;Mixed
151;Lemon
23;Cookies
29;Dishwashing Liquid
15;Turkey Mortadella
104;Other Coffee
75;Pomegranate
75;Liquid Hand Soap
15;Sliced White Bread
171;Low Fat
403;Liquid Hand Soap
171;Chicken Noodles
403;Cream/Mousse
189;Basterma & Salami
75;Choco Cereals
171;Zod Bakery Croissants
75;Apple
23;Sliced White Bread
23;Other Coffee
236;Chocolate Coated Wafers
171;Crm Cheese Spread In Jar
29;Liquid Detergent For Aba
236;Chocolate Bars
75;Liquid Hand Soap
151;Tooth Paste/Gel Whitenin
75;Other Flavour Juice
236;Dairy Snack
23;Chocolate Coated Wafers
214;Sliced White Bread
75;Honey
298;Mazza/Sella Basmati
214;Facial Tissue
236;No Added Sugar
236;Plain Cereals
151;Hair Food/Cream
199;Plain Halawa
29;Liquid Detergent For Aba
147;Bread
214;Orange
23;Orange
151;Labneh
151;Shampoos
23;Chocolate in Bag
234;Vegetable Oil
151;Liquid Hand Soap
151;Juice Milk
75;Coarse Sugar
236;French Fries
214;Slice Cheese
214;Stuffed Black Olives
75;Liquid Hand Soap
214;Apple
171;Fine Sugar
236;Chicken Burger
151;Tea/Plain Biscuits
236;Chocolate Bars
236;Vegetable Noodles
151;Tomato Ketchup
199;Large
214;Plain Halawa
75;Plain Cereals
115;Donuts
104;Butter
171;Vegetable Oil
173;Baby Wipes
261;Sliced White Bread
157;Arabic Soft Cheese
173;Bread
173;Liners
157;Facial Tissue Refills
7;Feminine Napkins
93;Bath Soap Bar Normal
23;Whole Chicken
261;French Fries
157;Diaper
157;Cakes
23;Chocolate Milk
157;Chicken Stock
173;Bread
330;Arabic Sweets
157;Choco Cereals
115;Butter Ghee
173;Feminine Napkins
93;Chocolate in Bag
235;Zod Bakery Rusks
115;White/Feta Cheese
93;Candies in Bag
93;Chewing/Bubble Gum
157;Dishwashing Liquid
157;Arabic Soft Cheese
235;Real Potato Chips in Fam
235;Diaper
97;Dishwashing Liquid
157;Un
157;Chocolate in Bag
261;Arabic Bread
157;Plain Water
283;Deo Spray
157;Diaper
261;Stuffed Black Olives
7;Crm Cheese Spread In Jar
23;Strawberry Milk
157;Instant Coffee
93;Tomato
157;French Fries
2;Brown Rice
114;Whole Chicken
97;Pomace Olive Oil
115;Chocolate in Bag
157;White Soft Cheese
261;Mozarella Shredded
283;Green Peas
235;Baby Wipes
157;Chicken Popcorn
235;Tomato Paste In Tetra PC
235;Plain Cream
157;Tomato Paste In Tetra PC
173;Bread
157;Flavoured Yoghurt
122;Potato Chips in Canister
93;Digestive
235;Instant Coffee
173;Feminine Napkins
157;Shampoos
7;Facial Tissue
157;Fabric Softener
93;Seeds Fruits
157;Beef Burger
7;Sunflower Oil
383;Feminine Napkins
80;Choco Cereals
85;Labneh
85;Tooth Paste/Gel Standard
85;Tooth Paste/Gel Standard
298;White Soft Cheese
85;Ready Coffee
169;Facial Tissue Refills
169;Chicken Breast
185;Arabic Soft Cheese
85;Cream Caramel
63;Tooth Paste/Gel Standard
71;Sunflower Oil
185;Bag
102;Tea Bags
239;Real Potato Chips in Fam
248;Chedder Cheese Sprd Jar
86;Zod Bakery Croissants
85;Instant Coffee
248;Mazza/Sella Basmati
85;Shampoos
185;Tea Bags
169;Cream/Mousse
85;Plain Cream
85;Cream/Mousse
85;Arabic Soft Cheese
239;Arabic Sweets
169;Mazza/Sella Basmati
169;Garbage Bags With Tie
85;French Fries
169;Oriental Food
85;Loose/Powder Tea
80;No Added Sugar
80;Zod Bakery PIZZA &PIES
185;Mango
86;Oatmeals/Porridge
185;French Fries
80;No Added Sugar
185;Sunflower Oil
248;Cream/Mousse
63;Toothbrush
63;Tooth Paste/Gel Standard
169;Plain Water
185;Halawa Plain
63;Sunflower Oil
72;Plain Water
120;Dishwashing Liquid
72;Condensed Milk
72;Tablet Candy/Chocolate
95;No Added Sugar
225;Liquid  Detergent Front
72;Hair Food/Cream
90;Bread
95;Dishwashing Liquid
120;Hommos/Mutabal
241;Non
441;Shampoos
72;Choco Cereals
90;Other Chips in Family Pa
120;Arabic Sweets
112;Dishwashing Liquid
90;Soups In Packets
90;Tea/Plain Biscuits
72;Feminine Napkins
301;Other Chips in Family Pa
225;Cream/Mousse
188;Yoghurt Full Fat
130;Colourings & Dyes
129;Dishwashing Liquid
130;Tea/Plain Biscuits
315;Tomato Paste In Tetra PC
129;Shampoos
441;Conditioners
95;Facial Tissue Refills
241;Prepacked
130;Dishwashing Liquid
241;Salad
301;Other Chips in Family Pa
241;Shampoos
315;Facial Tissue Refills
352;Cola
130;Citrus Fruits
395;Yoghurt Full Fat
90;Mixed Vegeteble
241;Citrus Fruits
90;Other Chips in Family Pa
72;Chicken Noodles
72;Turkey Mortadella
130;White Flour
130;Dishwashing Liquid
179;Long Leaf Tea
315;Light Meat Tuna in Oil
95;Mazza/Sella Basmati
95;Bread
124;French Fries
21;Top Loading
112;Tooth Paste/Gel Standard
72;Kitchen Rolls
129;Conditioners
90;Green Olives
95;No Added Sugar
95;Cakes
72;Fresh Whole Chicken 1000
130;Topping/Syrup
90;Instant Coffee
95;Cookies
90;Dairy Products
130;Cola
72;Other Flavour Milk
115;Crm Cheese Spread In Jar
130;Exotic Fruits
352;L/F Cream Cheese
241;Fresh Onions
95;Hommos/Mutabal
90;Dairy Snack
95;Triangular Cheese
90;Full Fat
128;Long Leaf Tea
90;Arabic Bread
241;Sandwich Biscuits
441;Halloum Cheese
95;Facial Tissue Refills
130;French Piastries
115;Sliced White Bread
120;Light Meat Tuna in Oil
241;Potato
200;French Piastries
95;Crm Cheese Spread In Jar
128;French Fries
130;Egyptian/Calrose
72;Facial Tissue Refills
241;Light Meat Tuna in Oil
352;Arabic Soft Cheese
90;Buns/Hot Dog
72;Chicken Breast
95;Dairy Snack
72;Stain Remover
95;Arabic Sweets
129;Corn Flour/Starch
130;Chick Peas
72;Extra Virgin Olive Oil
72;Choco/Hazelnut Spread
241;Halawa Plain
95;No Added Sugar
90;Cocoa Powder
130;Infusion
112;Light Meat Tuna in Oil
130;Citrus Fruits
130;French Piastries
225;Red Lentil
130;Cola
241;Toilet/WC Cleaners
95;Green Peas
90;Cream/Mousse
31;Semi Soft Cheese
115;Zod Bakery PIZZA &PIES
31;Beef Mortadella
130;Hair Food/Cream
90;Chicken Burger
90;Black Olives
225;Baby Wipes
241;Yoghurt Full Fat
112;Whole Chicken
144;Chicken Franks
339;Chicken Strips
69;Light Meat Tuna in Oil
144;Puff Pastry
35;Sunflower Oil
40;Tooth Paste/Gel Standard
144;Buns/Hot Dog
69;French Fries
11;Front Loading
161;French Fries
339;Chicken Burger
295;Fresh Whole Chicken 1000
295;Front Loading
139;Other Chips in Family Pa
40;No Added Sugar
67;Extra Virgin Olive Oil
295;Cardamom
262;Tomato Paste In Tetra PC
194;Plain Halawa
